"","SiteWs","Site","WS","Date","Ca_fwmc_mgL","DOC_fwmc_mgL","NH4_fwmc_mgL","NO3_fwmc_mgL","SO4_fwmc_mgL","TDP_fwmc_mgL"
"1196","DOR_HP4","DOR","HP4",2010-03-01,NA,NA,NA,NA,NA,NA
"1197","DOR_HP4","DOR","HP4",2010-04-01,NA,NA,NA,NA,NA,NA
"1198","DOR_HP4","DOR","HP4",2010-05-01,NA,NA,NA,NA,NA,NA
"1199","DOR_HP4","DOR","HP4",2010-06-01,NA,NA,NA,NA,NA,NA
"1200","DOR_HP4","DOR","HP4",2010-07-01,NA,NA,NA,NA,NA,NA
"1201","DOR_HP4","DOR","HP4",2010-08-01,NA,NA,NA,NA,NA,NA
"1202","DOR_HP4","DOR","HP4",2010-09-01,NA,NA,NA,NA,NA,NA
"1203","DOR_HP4","DOR","HP4",2010-10-01,NA,NA,NA,NA,NA,NA
"1204","DOR_HP4","DOR","HP4",2010-11-01,NA,NA,NA,NA,NA,NA
"1205","DOR_HP5","DOR","HP5",1985-11-01,2.52150628638521,10.221588963358,0.00511193190157037,0.0346386184628932,0.00681588229538672,0.0121726607347876
"1206","DOR_HP5","DOR","HP5",1985-12-01,2.68162108544707,7.98830947994899,0.0205798497945303,0.111619597562704,0.00698231755703557,0.0117769882659713
"1207","DOR_HP5","DOR","HP5",1986-01-01,2.84180039902845,8.77639659958362,0.103404961643713,0.163671712352533,0.00730374479528105,0.0247931034482759
"1208","DOR_HP5","DOR","HP5",1986-02-01,2.86080323735155,8.90034569708801,0.126815113063283,0.123966284366358,0.00711273670082967,0.0297137096774194
"1209","DOR_HP5","DOR","HP5",1986-03-01,2.42780569631312,6.96209214281554,0.0555379026151785,0.276358524084105,0.00721793249461238,0.0199449198305226
"1210","DOR_HP5","DOR","HP5",1986-04-01,2.20931453854192,6.2147935511084,0.0152027480712364,0.163457900704805,0.00661913807661541,0.016296165985409
"1211","DOR_HP5","DOR","HP5",1986-05-01,2.04059109927729,13.6537560303239,0.0053879802206162,0.00820859642449601,0.003635850893876,0.0309124093538662
"1212","DOR_HP5","DOR","HP5",1986-06-01,2.1101218231464,17.2904011762235,0.00795904221802143,0.00779248057130855,0.00210122243226213,0.0370103825136612
"1213","DOR_HP5","DOR","HP5",1986-07-01,2.53167048628518,21.5998887533195,0.0456431640764879,0.0102417102341904,0.000790344839934112,0.134620884316703
"1214","DOR_HP5","DOR","HP5",1986-08-01,2.84868428176945,24.5054474497263,0.0473701878823975,0.0117819048134712,0.000298256537982565,0.02733555420957
"1215","DOR_HP5","DOR","HP5",1986-09-01,2.56849552866912,19.9772688297434,0.0118836138874277,0.00899543003682272,0.00261813239742241,0.0442199776230731
"1216","DOR_HP5","DOR","HP5",1986-10-01,2.46768192258137,14.1109629712621,0.00436259406569193,0.00653009790923633,0.00485231869985497,0.0327632356582749
"1217","DOR_HP5","DOR","HP5",1986-11-01,2.45632918503154,10.3185463659148,0.0256009420101979,0.051984962406015,0.00572526445423905,0.0165827692307692
"1218","DOR_HP5","DOR","HP5",1986-12-01,2.82534056316591,8.70388127853881,0.100288432267884,0.100364916286149,0.0069896099695586,0.0169615776081425
"1219","DOR_HP5","DOR","HP5",1987-01-01,2.75220266711258,8.43504986854734,0.109068780545953,0.13453431080383,0.00668260735300255,0.0174066362252664
"1220","DOR_HP5","DOR","HP5",1987-02-01,2.87378119245666,9.30306058713304,0.229520547085764,0.164277119016249,0.00646960337289194,0.0211525488692986
"1221","DOR_HP5","DOR","HP5",1987-03-01,2.52459575180096,6.82592407332145,0.0699101537873152,0.345941936100728,0.00607914916823849,0.0203074511213628
"1222","DOR_HP5","DOR","HP5",1987-04-01,2.27938206950897,6.09381084497562,0.0321694219624711,0.26837565872638,0.00653461412178024,0.0171355428443248
"1223","DOR_HP5","DOR","HP5",1987-05-01,2.09000564369474,12.9325250525795,0.00797093497209506,0.0171936100834013,0.00321945663761209,0.0321116707189997
"1224","DOR_HP5","DOR","HP5",1987-06-01,2.79253983960004,21.9326320174982,0.019695578585564,0.0128422820539527,0.000891028538693886,0.0224747203579418
"1225","DOR_HP5","DOR","HP5",1987-07-01,2.95345099413156,24.4008496102304,0.462750638100394,0.0177466935271963,0.00144681615135325,0.0577092651757189
"1226","DOR_HP5","DOR","HP5",1987-08-01,4.4598784983644,24.6058829638091,0.28547963657493,0.0239895409645555,0.0109388156186718,0.119894103118246
"1227","DOR_HP5","DOR","HP5",1987-09-01,3.10355474738831,25.0458230826826,0.0700727350518772,0.0359534139402561,0.00543674546297287,0.116462546111571
