Watershed,Record_Type,Date,Year,Month,Day,Hour,Ca_ueq_L,Mg_ueq_L,NO3_ueq_L,SO4_ueq_L,NH4_ueq_L,DOC_mg_L
WB,REG,6/7/1988,1988,6,7,9,82,30,1.4,108,1.4,1.3
EB,REG,6/14/1988,1988,6,14,9,118,35,0.05,112,1.4,1.9
WB,REG,6/14/1988,1988,6,14,11,83,30,0.05,105,1.4,1.6
EB,REG,6/21/1988,1988,6,21,8,122,39,0.3,116,1.4,1.7
WB,REG,6/21/1988,1988,6,21,8,88,33,0.05,107,1.4,1.9
EB,REG,6/21/1988,1988,6,21,9,101,33,2.1,110,1.4,
EB,REG,6/28/1988,1988,6,28,9,121,39,0.05,115,1.4,1.3
WB,REG,6/28/1988,1988,6,28,10,85,32,0.05,102,1.4,1.2
WB,REG,7/5/1988,1988,7,5,13,85,31,0.05,103,1.4,1.9
WB,REG,7/12/1988,1988,7,12,8,96,35,1,104,1.4,1.5
WB,REG,7/19/1988,1988,7,19,10,98,35,0.8,99,1.4,1.3
WB,ISCO,7/21/1988,1988,7,21,2,100,36,1.7,97,1.4,1.8
WB,ISCO,7/21/1988,1988,7,21,10,99,35,1.4,97,1.4,2
WB,ISCO,7/21/1988,1988,7,21,18,97,35,1.2,96,1.4,1.8
WB,ISCO,7/22/1988,1988,7,22,2,84,30,0.5,92,1.4,2.7
WB,ISCO,7/22/1988,1988,7,22,10,85,32,0.05,100,1.4,2.3
WB,ISCO,7/22/1988,1988,7,22,18,87,32,0.05,100,1.4,2.1
WB,ISCO,7/23/1988,1988,7,23,2,87,32,0.05,100,1.4,1.9
WB,ISCO,7/23/1988,1988,7,23,10,88,32,0.05,99,1.4,2
WB,ISCO,7/23/1988,1988,7,23,18,92,33,0.5,99,2.77,1.9
WB,ISCO,7/24/1988,1988,7,24,2,95,34,0.6,99,1.4,1.6
WB,ISCO,7/24/1988,1988,7,24,10,78,29,0.05,85,1.4,2.8
WB,ISCO,7/24/1988,1988,7,24,18,81,30,0.05,102,1.4,2.5
WB,ISCO,7/25/1988,1988,7,25,2,83,31,0.05,104,1.4,2.2
WB,ISCO,7/25/1988,1988,7,25,10,84,31,0.05,103,1.4,2.1
WB,ISCO,7/25/1988,1988,7,25,18,86,32,0.05,102,1.4,2
WB,ISCO,7/26/1988,1988,7,26,2,87,33,0.05,102,1.4,1.8
WB,REG,7/26/1988,1988,7,26,9,86,32,0.05,103,1.4,2
WB,REG,8/2/1988,1988,8,2,12,90,34,1,105,1.4,2
WB,REG,8/9/1988,1988,8,9,10,93,35,1.8,100,1.4,1.9
EB,ISCO,8/16/1988,1988,8,16,10,112,37,6.5,113,1.4,2.8
WB,ISCO,8/16/1988,1988,8,16,10,94,36,1,96,1.4,1.6
EB,ISCO,8/29/1988,1988,8,29,18,107,35,4.4,114,1.4,1.9
WB,ISCO,8/29/1988,1988,8,29,18,91,36,0.6,102,1.4,1.7
EB,ISCO,8/29/1988,1988,8,29,22,105,35,4.8,114,1.4,2.1
