Year,Month,H2O_mm,Ca_WET_kg_ha_mo,Mg_WET_kg_ha_mo,NO3N_WET_kg_ha_mo,NH4N_WET_kg_ha_mo,N_WET_kg_ha_mo,SO4S_WET_kg_ha_mo
2002,11,64.5,0.02,0.0324,0.06,0.05,0.11,0.16
2002,12,177,0.032,0.0264,0.06,0.03,0.09,0.12
2003,1,50.8,0.022,0.0132,0.08,0.02,0.1,0.1
2003,2,97.5,0.044,0.0084,0.18,0.04,0.23,0.12
2003,3,138,0.084,0.0216,0.21,0.07,0.27,0.24
2003,4,127,0.102,0.1068,0.22,0.14,0.36,0.35
2003,5,94.1,0.05,0.0132,0.11,0,0.11,0.22
2003,6,107,0.022,0.006,0.11,0.04,0.15,0.24
2003,7,67.3,0.056,0.0096,0.17,0.2,0.37,0.37
2003,8,63.2,0.016,0.0048,0.05,0.04,0.1,0.08
2003,9,132,0.09,0.1536,0.21,0.14,0.35,0.55
2003,10,259,0.282,0.1596,0.54,0.12,0.66,0.84
2003,11,175,0.06,0.0684,0.13,0.04,0.17,0.25
2003,12,174,0.098,0.1728,0.07,0.02,0.09,0.24
2004,2,22.1,0.014,0.0168,0.06,,,0.11
2004,3,46.5,0.118,0.0168,0.27,,,0.34
2004,4,90.6,0.08,0.0324,0.05,0,0.05,0.24
2004,5,97.5,0.068,0.0072,0.11,0.01,0.12,0.18
2004,6,68.5,0.048,0.0048,0.12,0,0.12,0.27
2004,7,158,0.062,0.0096,0.29,0.21,0.5,0.64
2004,8,151,0.054,0.018,0.14,0.15,0.28,0.39
2004,9,58.9,0.02,0.012,0.04,0.01,0.05,0.06
2004,10,76.8,0.038,0.0288,0.1,0.05,0.15,0.22
2004,11,47.2,0.036,0.012,0.13,0.04,0.17,0.14
2004,12,120,0.07,0.1104,0.08,0.03,0.11,0.17
2005,1,87.3,0.068,0.0648,0.2,0.11,0.31,0.3
2005,2,80.6,0.032,0.0192,0.09,0.04,0.13,0.18
2005,3,116,0.026,0.012,0.05,0.07,0.12,0.12
2005,4,281,0.126,0.1332,0.24,0.27,0.51,0.57
2005,5,280,0.068,0.0156,0.17,0.21,0.38,0.48
2005,6,77.9,0.05,0.0072,0.21,0.19,0.39,0.52
2005,7,26.9,0.008,0.0024,0.03,0.01,0.04,0.06
2005,8,57.2,0.014,0.012,0.05,0.03,0.08,0.09
2005,9,105,0.042,0.0168,0.26,0.18,0.44,0.55
2005,10,322,0.082,0.0384,0.06,0.13,0.19,0.11
2005,11,254,0.126,0.0984,0.28,0.26,0.55,0.6
2005,12,142,0.062,0.126,0.18,0.06,0.24,0.23
2006,1,203,0.102,0.1236,0.23,0.11,0.34,0.32
2006,2,84.8,0.034,0.018,0.07,0.04,0.11,0.14
2006,3,38.2,0.042,0.0072,0.21,0.09,0.29,0.19
2006,4,57.2,0.038,0.0072,0.15,0.11,0.26,0.23
2006,5,143,0.076,0.054,0.12,0.19,0.31,0.32
