region,site,catchment,type,WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
EF,BBWM,EB,unmanaged,2001,5.200509105,977,524.2273079,0.107021334,0.195961585,NA,0.001450172,NA,0.251827015,0.93,1.77,2.7,3.43,6.0071,896.1,0.001712487,0.003135652,NA,4.64095e-6,NA,0.004029575,156.6951
EF,BBWM,EB,unmanaged,2002,6.121336353,1178.4,728.7400909,0.09747019,0.196414609,6.90398e-4,0.002547536,NA,0.234702668,2.04,2.89,4.93,4.33,6.9712,1082.38,8.97564e-4,0.002034793,1.5894e-6,8.79722e-6,NA,0.002161284,169.7706
EF,BBWM,EB,unmanaged,2003,4.485684916,1233.4,871.7327685,0.083314909,0.210527659,NA,0.001853116,NA,0.240651592,0.86,1.63,2.49,2.84,5.0687,1115.83,8.01707e-4,0.001620661,NA,3.56636e-6,NA,0.002315698,145.5604
EF,BBWM,EB,unmanaged,2004,4.886831694,1419.381818,1132.302482,0.098972549,0.158996403,NA,0.001732014,NA,0.239878478,0.7467,1.9855,2.7321,3.8836,5.62,1249.83,8.79853e-4,7.06729e-4,NA,2.56623e-6,NA,0.002132488,167.2507
EF,BBWM,EB,unmanaged,2005,5.364507452,1355.9,1152.730007,0.094786515,0.180978764,NA,0.001295185,NA,0.23351762,1.23,1.61,2.84,3.4,5.9146,1427.83,8.27707e-4,0.001580366,NA,2.8275e-6,NA,0.002039153,139.5664
EF,BBWM,EB,unmanaged,2006,6.321674521,2033,1395.960076,0.088700667,0.159123261,0.018343144,0.003555615,NA,0.208785599,1.89,2.06,3.95,4.14,7.0746,1651.86,6.39605e-4,0.001147409,4.40897e-5,1.06829e-5,NA,0.001505516,122.4434
EF,BBWM,EB,unmanaged,2007,5.616710575,1412.2,1038.953441,0.079314543,0.18005979,NA,0.00354462,NA,0.214990748,1.32,1.82,3.14,3.66,6.1892,1323.39,7.04411e-4,0.001599152,NA,1.14475e-5,NA,0.001909382,152.5212
EF,BBWM,EB,unmanaged,2008,5.499531202,1659.4,1249.641988,0.076523915,0.21353313300000001,0.004023042,0.001331483,NA,0.195292775,1.4618,1.8655,3.3273,3.9818,6.12,1502.11,6.1641e-4,0.001720036,8.10152e-6,2.68131e-6,NA,0.001573107,147.9232
EF,BBWM,EB,unmanaged,2009,5.055273178,1073.04,1440.615597,0.085828522,0.158973977,NA,0.001811955,NA,0.209640958,0.48,0.78,1.26,1.764,5.55,1434.45,5.9971e-4,0.0011108,NA,2.11011e-6,NA,0.001464825,156.9927
EF,BBWM,EB,unmanaged,2010,6.621424932,1257.054545,1046.079322,0.077370162,0.152630304,NA,NA,NA,0.222811328,0.4364,1.0473,1.4836,1.7673,7.5129,1288.16,5.58378e-4,0.001223919,NA,0,NA,0.00178669,185.4971
EF,BBWM,EB,unmanaged,2011,5.320779452,1502.8,1449.166654,0.062483229,0.123211439,NA,4.55494e-4,NA,0.137797166,0.63,1.51,2.14,2.44,6.2488,1515.34,4.34013e-4,8.55836e-4,NA,2.63658e-7,NA,9.57149e-4,129.7243
EF,BBWM,EB,unmanaged,2012,7.017432426,1268.2,1256.055281,0.08122362,0.137044592,NA,0.002842119,NA,0.158119213,0.86,1.34,2.2,1.76,7.4654,1258.9,6.50926e-4,0.001098275,NA,9.4903e-6,NA,0.001267166,137.6602
EF,BBWM,EB,unmanaged,2013,5.792046093,1757.333333,1535.152284,0.070766171,0.119855398,NA,0.001709913,NA,0.145646936,1.5333,1.4533,2.9867,0.5067,6.5733,1382.79,4.64015e-4,7.85894e-4,NA,4.67164e-6,NA,9.55009e-4,149.143
EF,BBWM,EB,unmanaged,2014,5.147718357,NA,1031.352502,0.05536125,0.133509385,1.03927e-4,0.001056898,NA,0.126142644,NA,NA,NA,NA,5.4146,1255.89,4.953e-4,0.001194466,8.45275e-8,4.29806e-6,NA,0.001128558,112.0402
EF,BBWM,EB,unmanaged,2015,4.973104,NA,1155.105301,0.055705623,0.130724569,9.89e-5,2.31894e-4,NA,0.126652527,NA,NA,NA,NA,5.5625,1397.19,3.23626e-4,7.59455e-4,1.44e-7,1.01041e-6,NA,7.35798e-4,137.6602
EF,BBWM,EB,unmanaged,2016,6.50250937,NA,1042.516382,0.062790784,0.135047638,9.77294e-4,7.48284e-4,NA,0.115408087,NA,NA,NA,NA,7.2483,1188.66,4.54707e-4,9.77965e-4,3.14542e-6,4.81671e-6,NA,8.35742e-4,137.6602
EF,BBWM,EB,unmanaged,2017,6.015463018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7546,1182.25,NA,NA,NA,NA,NA,NA,137.6602
EF,BBWM,EB,unmanaged,2018,6.094284392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7392,1334.42,NA,NA,NA,NA,NA,NA,NA
EF,BBWM,EB,unmanaged,2019,4.941077987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145,467.08,NA,NA,NA,NA,NA,NA,NA
EF,CWT,CWT07,managed,2003,13.21401826,1941.576,805.9183042,1.088054673,NA,0.008939542,0.085277282,NA,0.161768657,0.190553031,0.243758714,0.434311745,0.363610899,12.79088294,1801.903318,0.141399508,NA,9.7897e-4,0.01456558,NA,0.022262719,115.5933
EF,CWT,CWT07,managed,2004,13.02693559,1972.818,1063.669334,0.994721058,NA,0.004209728,0.11528388,NA,0.155242602,0.23437928,0.285374669,0.519753949,0.443033586,12.46315699,1744.589132,0.141147354,NA,5.59464e-4,0.018287895,NA,0.022692685,127.3767
EF,CWT,CWT07,managed,2005,13.2809938,2071.116,1012.895612,1.050631404,NA,0.007323462,0.141947158,NA,0.147393337,0.207322393,0.235536141,0.442858534,0.387617304,12.91602418,1981.618143,0.145732897,NA,0.001079795,0.020942384,NA,0.02094673,156.6607
EF,CWT,CWT07,managed,2006,13.44950913,2040.636,1314.817418,1.019337846,0.264772188,0.008351846,0.184915454,0.44622,0.151024254,0.257776952,0.264915543,0.522692495,0.492694843,13.03722469,1569.65653,0.147346629,0.020601288,0.001243145,0.028155647,0.01369391,0.02304488,123.55025
EF,CWT,CWT07,managed,2007,13.2424574,1562.1,703.9079924,1.139509135,0.536609615,0.00829425,0.131757218,NA,0.15507738,0.196472877,0.197948136,0.394421013,0.421670001,12.72199854,1389.511078,0.165272651,0.086828027,0.001300349,0.01980939,NA,0.023314776,134.1185
EF,CWT,CWT07,managed,2008,13.54857302,1479.042,595.1435947,1.324618502,0.510528302,0.004018868,0.080596924,0.004549382,0.163265363,0.230515059,0.201799062,0.432314121,0.43317023,13.21891941,1328.595057,0.185772557,0.092108896,6.09161e-4,0.012765846,4.17643e-4,0.025147492,136.3008
EF,CWT,CWT07,managed,2009,13.112507,1599.946,526.0252085,1.004489228,0.527086538,0.003711538,0.066987412,0.003234455,0.161470236,0.152432428,0.159335308,0.311767736,0.256496894,12.41898994,1386.93671,0.142041108,0.106109185,6.58999e-4,0.010942909,4.47742e-4,0.026104917,113.2726
EF,CWT,CWT07,managed,2010,12.08981063,2434.59,1160.758137,0.927849577,0.44545,0.005,0.100325028,0.003522958,0.151973563,0.176793114,0.182840454,0.359633568,0.25099613,11.95129238,2186.175341,0.127715192,0.059812834,6.26156e-4,0.015336329,3.66439e-4,0.021983406,128.02325
EF,CWT,CWT07,managed,2011,13.1018042,1817.624,1026.110949,1.044539125,0.617661538,0.004288462,0.075232811,0.002824745,0.155534394,0.204846574,0.188290794,0.393137368,0.242843728,13.01315665,1661.995282,0.137000753,0.086537393,6.13638e-4,0.00961942,4.23796e-4,0.021737243,116.9913
EF,CWT,CWT07,managed,2012,13.80054502,1666.494,691.2688779,0.996547096,0.519176923,0.003211538,0.065558765,0.012315143,0.165628789,0.20500155,0.18585565,0.390857201,0.220325358,13.8986794,1372.148392,0.132918554,0.065486749,4.5811e-4,0.010165057,2.66907e-4,0.02198307,130.3204
EF,CWT,CWT07,managed,2013,12.69743063,2151.888,1046.628256,0.919829792,0.7628,0.004490566,0.059063997,0.003158445,0.162802246,0.246673548,0.187644831,0.434318379,0.222091235,12.69723874,1823.509256,0.124681684,0.015438748,6.04966e-4,0.009891596,1.04118e-4,0.024069916,130.31755
EF,CWT,CWT07,managed,2014,13.14925922,1995.424,1133.996843,0.892158608,0.463397368,0.002803922,0.066545891,0.002668421,0.14517946,0.140289649,0.139790771,0.28008042,0.149317972,11.95067816,1972.050786,0.119663319,0.035095043,4.11331e-4,0.010545613,1.55182e-4,0.020504502,128.84445
EF,CWT,CWT07,managed,2015,12.93914383,1653.286,745.3676885,1.069782353,0.397190196,0.00327451,0.057658232,0.00205,0.156234257,0.146127751,0.154219202,0.300346954,0.143812431,12.41281775,1496.516836,0.163972295,0.085230207,4.90356e-4,0.008859149,3.61997e-4,0.02645982,127.3651
EF,CWT,CWT07,managed,2016,13.93158268,2229.358,1022.417456,1.012373077,0.588384615,0.002307692,0.059634977,0.001863636,0.148656146,0.147464491,0.149495762,0.296960253,0.121840029,13.67846749,1829.458028,0.12966121,0.072080061,3.16339e-4,0.009523217,2.05243e-4,0.02062824,NA
EF,CWT,CWT07,managed,2017,14.64648948,1376.68,735.8741833,1.096521154,0.495194231,0.002211538,0.045878486,0.001704348,0.154832259,0.204993818,0.174399236,0.379393054,0.143679417,14.50156797,1190.02516,0.135601798,0.07153854,2.64092e-4,0.005218376,1.57339e-4,0.019796181,NA
EF,SEF,WS77,managed,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF,SEF,WS77,managed,1964,NA,1920.2424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF,SEF,WS77,managed,1965,NA,1467.626,432.9147758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF,SEF,WS77,managed,1966,NA,1593.686,493.9393239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF,SEF,WS77,managed,1967,NA,1182.148,214.89017810000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF,SEF,WS77,managed,1968,NA,988.162,112.4872258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF,SEF,WS77,managed,1969,NA,1479.638,459.3659458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF,SEF,WS77,managed,1970,NA,1384.696,391.9143019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF,SEF,WS77,managed,1971,NA,1677.112,619.1953548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF,SEF,WS77,managed,1972,NA,1243.328,289.070431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF,SEF,WS77,managed,1973,NA,1546.342,443.9354632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF,SEF,WS77,managed,1974,NA,1383.33,286.906529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF,SEF,WS77,managed,1975,NA,1441.202,375.3678658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF,SEF,WS77,managed,1976,NA,1281.168,295.0498684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF,SEF,WS77,managed,1977,NA,1231.23,241.0197677,2.1125,NA,0.027375,0.0123625,NA,0.76437375,NA,NA,NA,NA,NA,NA,0.125941857,NA,5.87426e-4,4.81108e-4,NA,0.290649609,NA
