solute,WaterYear,NE_BBWM_EB,SE_CWT_CWT18,GL_DOR_HP3,GL_DOR_HP3A,GL_DOR_HP5,GL_DOR_HP6,GL_DOR_HP6A,GL_ELA_EIF,GL_ELA_NEIF,GL_ELA_NWIF,NE_HBEF_WS6,NE_HBEF_WS7,NE_HBEF_WS8,NE_HBEF_WS9,WC_HJA_HJA08,WC_HJA_HJA09,GL_MEF_S2,GL_MEF_S5,SE_SEF_WS80,NE_SLP_SLPW9,GL_TLW_C32,GL_TLW_C35,GL_TLW_C38
DOC,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1972,NA,NA,NA,NA,NA,NA,NA,2.753373196,3.138696611,2.243690277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1973,NA,NA,NA,NA,NA,NA,NA,1.725686571,3.339481207,1.507643027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1974,NA,NA,NA,NA,NA,NA,NA,3.330227959,1.168332771,3.432104816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
