Year,Month ,Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,1 Ca (mg/L),1 TOC TC-IC(mg/L),1 NH4-N(mg/L),1 NO3+NO2-N(mg/L),1 TP(mg/L),1 SO4-S (mg/L),2 NH4-N (kg/ha),2 NO3-N (kg/ha),2 Total N (kg/ha),2 SO4-S (kg/ha),T2 (DegC),P2 (mm),FWACamgL,FWATOCTCICmgL,FWANH4NmgL,FWANO3NO2NmgL,FWATDPmgL,FWASO4SmgL,N/A
1991,9,1991,11.35,84,0,N/A,N/A,N/A,N/A,N/A,N/A,0.023679002,0.015358868,0.039037871,0.032947278,11.72500038,103.2699966,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1991,10,1991,2.935483871,47.2,0,N/A,N/A,N/A,N/A,N/A,N/A,0.005943115,0.007288056,0.013231171,0.014442206,4.389999866,39.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1991,11,1992,-6.566666667,72.3,0.18,3.9,N/A,0.11,0.61,0.03,3.0636,0.001240011,0.011394042,0.012634052,0.005766223,-6.445000172,55.59000015,17.67649848,N/A,0.498567906,2.76478566,0.135973065,13.88556942,N/A
1991,12,1992,-10.46774194,29.9,0.02,4.9,N/A,0.04,0.005,0.02,2.1978,0.001535757,0.005116449,0.006652206,0.002805679,-10.09000015,20.21999931,2.859294118,N/A,0.023341176,2.92E-03,0.011670588,1.282480941,N/A
1992,1,1992,-9.451612903,16.9,0.02,2.1,46.5,0.51,N/A,0.06,N/A,0.003995015,0.005969311,0.009964326,0.004445685,-9.885000229,12.72000027,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1992,2,1992,-7.103448276,28.4,0,N/A,N/A,N/A,N/A,N/A,N/A,0.009929527,0.015552401,0.025481927,0.009139819,-6.864999771,19.87000084,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1992,3,1992,-3.709677419,25.5,0.27,3.25,30.95,0.33,N/A,0.075,N/A,0.009246277,0.01214827,0.021394547,0.027638483,-2.875,17.29000092,6.071452267,53.94662735,0.605316992,N/A,0.144716181,N/A,N/A
1992,4,1992,2.366666667,44,24.19,2.65,38.4,0.09,N/A,0.03925,N/A,0.013021726,0.010984729,0.024006455,0.015778955,2.599999905,28.89999962,4.058523016,58.86690447,0.137215166,N/A,0.05985827,N/A,N/A
1992,5,1992,12.14516129,98.1,22.22,2.633333333,47.26666667,0.033333333,N/A,0.018666667,N/A,0.035231547,0.01901095,0.054242497,0.024681748,13.11499977,34.79000092,2.27636954,41.60854482,0.022652988,N/A,0.017082152,N/A,N/A
1992,6,1992,13.7,137.8,8.67,3.033333333,53.53333333,0.033333333,N/A,0.07,N/A,0.02475005,0.027267363,0.052017414,0.047079092,14.81499958,92.13999939,4.481045525,76.14384629,0.061682534,N/A,0.104770642,N/A,N/A
1992,7,1992,14.5,103,20.37,2.75,56.3,0.03,N/A,0.065,N/A,0.021510599,0.017988126,0.039498725,0.031373849,15.33500004,99.95999908,0.321957734,6.6084443,0.003675907,N/A,0.007464451,N/A,N/A
1992,8,1992,14.79032258,159.2,9.7,3.2,59.55,0.025,N/A,0.075,N/A,0.054711537,0.027066669,0.081778206,0.05509049,15.94999981,135.1399994,4.734982274,87.89181456,0.043818586,N/A,0.119647694,N/A,N/A
1992,9,1992,11.06666667,82.5,17.81,2.65,55.85,0.03,N/A,0.04375,N/A,0.025652788,0.017673884,0.043326672,0.02789529,11.84500027,69.52999878,2.818711775,57.45546139,0.020052061,N/A,0.063055785,N/A,N/A
1992,10,1992,4.112903226,5.5,0.27,3.2,59.05,0.05,N/A,0.05,N/A,0.001309459,0.003247736,0.004557196,0.004131267,5.40500021,11.02000046,3.925975474,72.73595318,0.061631364,N/A,0.061631364,N/A,N/A
1992,11,1993,-4.65,37.4,0.87,2.966666667,53.53333333,0.046666667,N/A,0.066666667,N/A,0.010241424,0.011048551,0.021289975,0.010259607,-3.61500001,24.55999947,1.630569656,29.52058658,0.026734349,N/A,0.034968979,N/A,N/A
