Year,Month,WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm
1989,10,1990,8.2565464,119,54.39422452,0.149309969,0.163923286,N/A,N/A,0.31513934,0.07,0.11,0.18,0.26,7.994999886,89.09999847
1989,11,1990,0.57595978,239,223.5151322,0.096637752,0.1530742,0.000541171,0.003247028,0.207809823,0.25,0.61,0.86,0.98,0.300000012,183.1100006
1989,12,1990,-12.34467146,51,23.75293647,0.13822291,0.13094802,N/A,0.010184846,0.279355776,0.03,0.13,0.16,0.09,-13.54500008,67.36000061
1990,1,1990,-3.967065819,140,119.4772704,0.091116913,0.110208075,N/A,0.021260613,0.178184184,0.13,0.45,0.58,0.6,-4.09499979,130.2700043
1990,2,1990,-7.128077129,52,81.47257209,0.093322204,0.094170588,N/A,0.017816057,0.179857339,0.05,0.19,0.24,0.23,-7.09499979,61.75999832
1990,3,1990,-1.500605077,59,174.3465537,0.095148425,0.140938605,N/A,0.020119927,0.206154921,0.15,0.21,0.36,0.45,-1.519999981,58.29000092
1990,4,1990,4.9303081,142,166.5080847,0.117269981,0.184933723,N/A,0.017434829,0.275636346,0.18,0.35,0.53,0.77,4.784999847,114.8600006
1990,5,1990,9.259852465,155,175.5342005,0.04429906,0.066153262,N/A,0.011025544,0.292964447,0.08,0.19,0.27,0.52,9.545000076,183.1600037
1990,6,1990,14.88310426,113,30.16622932,0.074467378,0.109982589,N/A,0.004009782,0.293286904,0.14,0.24,0.38,0.55,15.96500015,100.5899963
1990,7,1990,18.38993765,78,1.900234918,0.18187225,0.163685025,N/A,N/A,0.4364934,0.06,0.18,0.24,0.44,19.54999924,97.97000122
1990,8,1990,18.34813323,113,6.888351576,0.125429138,0.270926938,N/A,N/A,0.280961269,0.03,0.1,0.13,0.3,19.52000046,98.77999878
1990,9,1990,12.4467427,126,18.05223172,0.143583355,0.183786695,N/A,N/A,0.306311158,0.2,0.26,0.46,0.91,12.98499966,107.4100037
1990,10,1991,8.348516123,146,115.6768006,0.134443552,0.214213393,0.001045672,0.002091344,0.29876345,0.12,0.31,0.43,0.69,9.119999886,171.6000061
1990,11,1991,2.39891116,114,115.2017419,0.128998049,0.180897265,N/A,0.009449857,0.275995827,0.09,0.21,0.3,0.34,2.339999914,125.8499985
1990,12,1991,-2.144393135,163,210.9260759,0.121248167,0.195635555,N/A,0.020071487,0.254293452,0.08,0.24,0.32,0.46,-2.019999981,183.6000061
1991,1,1991,-9.150813819,94,40.379992,0.132659759,0.133515628,N/A,0.017973258,0.273878212,0.04,0.15,0.19,0.16,-9.085000038,94.83999634
1991,2,1991,-4.582486593,71,23.75293647,0.13822291,0.113488284,N/A,0.025462115,0.279355776,0.09,0.21,0.3,0.36,-4.784999847,36.88999939
1991,3,1991,-0.079254819,168,232.3037187,0.117528898,0.153531421,N/A,0.031762557,0.253505369,0.11,0.22,0.33,0.42,-0.289999992,158.4700012
1991,4,1991,5.71650988,116,165.0829085,0.10676817,0.148219342,N/A,0.017585346,0.269641966,0.32,0.26,0.58,0.63,5.570000172,103.25
1991,5,1991,12.18616182,104,68.6459864,0.105725045,0.163118641,N/A,0.005286252,0.277905833,0.11,0.19,0.3,0.47,12.63500023,100.5899963
1991,6,1991,16.20496,64,5.700704753,0.121248167,0.163685025,N/A,N/A,0.339494867,0.07,0.11,0.18,0.25,16.81999969,56.86999893
1991,7,1991,18.52371179,78,0,N/A,N/A,N/A,N/A,N/A,0.15,0.19,0.34,0.54,19.26000023,64.94000244
1991,8,1991,18.33977235,182,5.938234118,0.11639824,0.157137624,N/A,N/A,0.279355776,0.06,0.18,0.24,0.46,19.10499954,204.4600067
1991,9,1991,12.03204286,59,44.18046184,0.113425704,0.227633655,N/A,N/A,0.262834735,0.06,0.14,0.2,0.32,12.52000046,150.8000031
1991,10,1992,8.315072587,231,118.527153,0.116631503,0.179320936,0.001020526,N/A,0.272917717,0.13,0.31,0.44,0.76,8.545000076,111.0699997
1991,11,1992,2.58034234,88,103.8003324,0.116531419,0.139837703,N/A,N/A,0.274348254,0.05,0.12,0.17,0.18,2.430000067,101.1699982
1991,12,1992,-7.328141135,65,59.14481181,0.122708988,0.122708988,N/A,0.00204515,0.271128431,0.07,0.24,0.31,0.2,-6.619999886,81.33000183
1992,1,1992,-8.130785987,165,117.1019768,0.122477864,0.165566462,N/A,0.01239535,0.271517193,0.06,0.12,0.18,0.28,-8.340000153,143.3399963
1992,2,1992,-7.437697545,80,23.99046584,0.136854366,0.112364638,N/A,0.010084006,0.276589877,0.16,0.26,0.42,0.43,-7.159999847,105.5800018
1992,3,1992,-3.231308039,118,150.8311466,0.126021717,0.116856501,N/A,0.011227389,0.265791257,0.11,0.22,0.33,0.53,-3.704999924,88.72000122
1992,4,1992,3.0296005,93,122.8026816,0.115385103,0.132552154,N/A,0.008864953,0.249907246,0.11,0.2,0.31,0.34,2.845000029,60.84000015
1992,5,1992,10.36348914,24,55.34434198,0.118646275,0.151742341,N/A,0.006556768,0.274759794,0.11,0.11,0.22,0.26,10.71500015,25.84000015
1992,6,1992,15.49651444,158,64.6079872,0.120356636,0.200594393,N/A,N/A,0.265319518,0.14,0.22,0.36,0.59,15.89500046,122
1992,7,1992,15.84822895,78,26.60328885,0.123413313,0.148095975,N/A,N/A,0.2806029,0.14,0.29,0.43,0.66,16.65999985,92.48999786
1992,8,1992,17.0187527,114,12.82658569,0.148192204,0.169747433,N/A,N/A,0.323328444,0.09,0.13,0.22,0.36,17.67000008,84.55000305
1992,9,1992,12.4899406,53,1.900234918,0.18187225,0.163685025,N/A,N/A,0.2909956,0.03,0.08,0.11,0.21,13.59500027,62.45999908
1992,10,1993,5.689755052,134,66.74575148,0.129446441,0.17242266,N/A,N/A,0.285817742,0.19,0.33,0.52,0.84,6.190000057,99.30999756
1992,11,1993,0.55004104,82,90.97374668,0.12536364,0.137900004,N/A,N/A,0.276559787,0.06,0.27,0.33,0.34,0.294999987,99.05999756
1992,12,1993,-4.610853877,64,52.73151896,0.127802122,0.125835935,N/A,0.002293884,0.272644526,0.01,0.13,0.14,0.18,-4.25,61.02999878
1993,1,1993,-8.281281897,96,73.15904433,0.125184795,0.137467077,N/A,0.006613536,0.268320618,0.04,0.15,0.19,0.26,-8.005000114,68.62999725
1993,2,1993,-11.82122041,88,27.31587694,0.126519826,0.110072249,N/A,0.004428194,0.28340441,0.03,0.2,0.23,0.16,-11.73999977,101.8199997
1993,3,1993,-3.29819511,104,110.4511546,0.109514473,0.134233454,N/A,0.007666013,0.247815608,0.02,0.12,0.14,0.28,-2.789999962,104.4499969
1993,4,1993,4.66248112,194,322.0898185,0.099788314,0.160948894,N/A,0.004506569,0.236058378,0.1,0.15,0.25,0.37,4.809999943,163.3699951
1993,5,1993,11.22466017,36,43.70540311,0.114658592,0.158940532,N/A,N/A,0.265691635,0.15,0.23,0.38,0.37,11.26500034,57.38000107
1993,6,1993,15.57427066,96,28.97858249,0.119260492,0.146690405,N/A,N/A,0.276684341,0.18,0.26,0.44,0.62,15.70499992,110.0299988
1993,7,1993,18.39829854,47,0,N/A,N/A,N/A,N/A,N/A,0.03,0.06,0.09,0.12,18.79000092,53.36999893
1993,8,1993,18.44846384,52,0,N/A,N/A,N/A,N/A,N/A,0.15,0.21,0.36,0.65,18.95999908,37.20999908
1993,9,1993,12.76640716,109,0,N/A,N/A,N/A,N/A,N/A,0.11,0.2,0.31,0.58,13.36999989,113.8000031
1993,10,1994,5.079410529,96,17.10211426,0.141456194,0.151560208,N/A,N/A,0.2909956,0.07,0.22,0.29,0.38,5.324999809,135.5399933
1993,11,1994,1.31032408,186,132.0663268,0.133460212,0.188414417,N/A,N/A,0.263780184,0.09,0.28,0.37,0.45,1.570000052,135.1100006
1993,12,1994,-4.343305594,232,262.469948,0.110604662,0.223974441,N/A,0.000460853,0.246490391,0.11,0.22,0.33,0.46,-3.970000029,188.2799988
1994,1,1994,-13.31453399,120,118.0520943,0.096608197,0.117686349,N/A,0.003073897,0.222491606,0.06,0.33,0.39,0.3,-13.10999966,144.1600037
1994,2,1994,-9.553330657,62,32.3039936,0.085586941,0.093075799,N/A,0.003744429,0.196849965,0.01,0.04,0.05,0.08,-9.199999809,26.56999969
1994,3,1994,-1.893566619,173,76.95951416,0.101040139,0.095651331,N/A,0.009430413,0.204774681,0.08,0.21,0.29,0.34,-1.63499999,154.6699982
1994,4,1994,4.6279228,81,273.6338281,0.085884118,0.100029738,N/A,0.002652304,0.222288306,0.18,0.22,0.4,0.42,4.545000076,108.4899979
1994,5,1994,9.677896658,137,107.3632728,0.091740869,0.155476631,N/A,N/A,0.247217501,0.24,0.36,0.6,0.73,9.595000267,134.1999969
1994,6,1994,16.95660346,92,34.67928725,0.10962163,0.176391168,N/A,N/A,0.271064395,0.26,0.32,0.58,0.73,17.34499931,82.02999878
1994,7,1994,20.21261034,22,0.475058729,0.3637445,0.2182467,N/A,N/A,0.5819912,0.03,0.1,0.13,0.12,20.78000069,70.91999817
1994,8,1994,16.89333944,81,0,N/A,N/A,N/A,N/A,N/A,0.17,0.2,0.37,0.64,17.96999931,59.84999847
1994,9,1994,12.52449892,88,0,N/A,N/A,N/A,N/A,N/A,0.04,0.07,0.11,0.2,12.93000031,116.5999985
1994,10,1995,7.729810716,65,1.662705553,0.103927,0.2494248,N/A,N/A,0.3325664,0.06,0.14,0.2,0.28,8.079999924,63.18999863
1994,11,1995,2.76177352,124,67.22081021,0.12339036,0.169661746,N/A,N/A,0.271458793,0.07,0.14,0.21,0.26,3.345000029,136.0599976
1994,12,1995,-3.440330135,72,64.6079872,0.123031228,0.149242229,N/A,0.001872214,0.269598865,0.04,0.13,0.17,0.17,-3.109999895,82.66000366
1995,1,1995,-5.806460271,154,103.3252736,0.113722418,0.182624825,0.001170672,0.00585336,0.243499766,0.08,0.41,0.49,0.36,-5.59499979,135.1799927
1995,2,1995,-8.905362157,51,23.27787774,0.111350357,0.106896343,N/A,0.00519635,0.225670057,0.03,0.09,0.12,0.09,-8.965000153,88.59999847
1995,3,1995,-2.394821514,125,152.7313815,0.107482823,0.133731259,N/A,0.003167915,0.229900101,0.14,0.24,0.38,0.42,-1.139999986,80.33000183
1995,4,1995,3.66892942,79,127.5532688,0.101604609,0.177198438,N/A,0.002844929,0.242767279,0.19,0.23,0.42,0.44,2.809999943,80.61000061
1995,5,1995,10.59759388,109,83.84786574,0.103043768,0.176823105,N/A,N/A,0.253899844,0.13,0.23,0.36,0.36,10.09500027,111.4300003
1995,6,1995,16.88748682,92,34.67928725,0.104638829,0.173401488,N/A,N/A,0.239174466,0.12,0.15,0.27,0.24,17.25499916,73.98999786
1995,7,1995,19.70259642,94,5.225646024,N/A,N/A,N/A,N/A,N/A,0.1,0.17,0.27,0.23,19.97999954,81.76999664
1995,8,1995,17.87992374,45,0,N/A,N/A,N/A,N/A,N/A,0.11,0.19,0.3,0.36,18.64500046,34.54999924
1995,9,1995,11.20264318,84,0,N/A,N/A,N/A,N/A,N/A,0.18,0.2,0.38,0.47,11.79500008,66.52999878
