Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrTOCTCICmgL,StrNH4NmgL,StrNO3NO2NmgL,StrTPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWATOCTCICmgL,FWANH4NmgL,FWANO3NO2NmgL,FWATPmgL,FWASO4SmgL,iNDVI
2002,4.906849315,725.7,118.9025,2.76875,52.7,0.059375,0.10875,0.035625,0.55569375,0.284785971,0.192696198,0.477482169,0.205876277,5.038750003,667.5200033,0.120407815,2.556514402,0.00375087,0.017553924,0.001754374,0.026538234,107.6211
2003,4.098630137,589.5,26.5949,2.8,48.25454545,0.090909091,0.04,0.043636364,0.711409091,0.200628873,0.137435604,0.338064476,0.150830445,4.236250122,519.3600025,0.221807176,4.089385336,0.006673124,0.002343198,0.002487307,0.055070786,116.19055
2004,3.599726776,812,106.9471,2.581818182,52.96363636,0.035454545,0.010909091,0.031363636,0.6327,0.259186449,0.169771667,0.428958115,0.22590819,3.67416664,675.760006,0.117857788,2.45801239,0.001600382,0.000477175,0.001599335,0.034467603,129.6053
2005,4.543835616,723.4,115.5622,2.266666667,39.525,0.133333333,0.034166667,0.031666667,0.46065,0.190186946,0.138167823,0.328354768,0.165510167,4.820833405,641.7100048,0.105093107,N/A,0.01256114,0.000722078,0.00321632,0.043116916,121.20515
2006,5.532876712,607.5,70.6071,2.342857143,40.18571429,0.408571429,0.174285714,0.055,0.889585714,0.241575878,0.161893484,0.403469361,0.183288523,5.683749904,555.3599987,0.074690189,1.410927141,0.003802102,0.001105204,0.002083176,0.033392718,110.9386
2007,5.116438356,829.3,86.7607,3.38,66.12,0.128,0.089,0.0485,1.41525,0.271520717,0.150655691,0.422176408,0.191558919,5.225000093,649.9300022,0.284776674,N/A,0.004059732,0.002797801,0.002808806,0.112100313,119.398
2008,2.927595628,718.5,105.2518,2.994117647,49.84705882,0.060588235,0.040588235,0.025,0.718888235,0.233110175,0.139148847,0.372259022,0.168091659,3.137499948,627.5800028,0.098365958,N/A,0.001048495,0.001043537,0.001180123,0.036382395,108.81845
2009,2.419178082,705.6,91.7173,2.883333333,49.11666667,0.044166667,0.071666667,0.0425,0.54945,0.170288634,0.109587927,0.279876561,0.130607708,2.739583482,622.9199905,0.117021628,N/A,0.000822168,0.001173611,0.001622208,0.047694118,109.30635
2010,5.295890411,837.2,94.1221,3.707142857,51.93,0.031764706,0.120588235,0.025,0.74,0.203926661,0.114559886,0.318486547,0.131298636,5.558750113,725.810009,0.128679938,0.921681042,0.001166015,0.005719878,0.000860212,0.022098354,144.57885
2011,3.863013699,814.4,181.4039,2.3625,N/A,0.209375,0.24375,0.0565625,0.231226875,0.250928874,0.172180575,0.423109449,0.147237155,4.134583424,621.730001,0.06254567,N/A,0.002592612,0.006612948,0.001305714,0.009222298,121.1926
2012,6.120218579,728.1,113.5993,2.3,50.1,0.061111111,0.011111111,0.036111111,0.481,0.270554012,0.1365431,0.407097112,0.122088827,6.414999902,735.3299909,0.100487587,0.209830431,0.002758931,0.000603324,0.001650017,0.036121192,136.29925
2013,3.569863014,760.1,101.893,3.09,N/A,0.067272727,0.26,0.044545455,0.850663636,0.239984331,0.122233353,0.362217684,0.114515937,3.696250004,666.2000027,0.342980062,N/A,0.027031974,0.009405361,0.01050272,0.226021948,124.68415
2014,1.783561644,846.8,142.5983,2.9875,N/A,0.045,0.0325,0.0340625,0.343614375,0.261662393,0.135041474,0.396703867,0.128169115,1.889166832,711.0000095,0.107585612,N/A,0.0029459,0.001135926,0.001368221,0.031386085,108.97675
2015,4.305479452,713,104.6115,2.986666667,N/A,0.061666667,0.220666667,0.088,0.2331,0.220007043,0.097713157,0.3177202,0.07905412,4.267083267,616.659997,0.165274922,N/A,0.003909718,0.001333579,0.001628579,0.018589467,145.867
2016,5.799180328,823.3,110.0807,2.695238095,66.9,0.041428571,0.02047619,0.042142857,0.172842857,0.291620145,0.11711593,0.408736075,0.091844101,6.005416746,776.2500019,0.164723667,0.0532726,0.005803618,0.001034559,0.002423171,0.028771256,N/A
2017,N/A,718.425,N/A,2.85,57.825,0.0875,0.035,0.1,0.1665,0.237957061,0.110082523,0.348039584,0.084997586,5.253749986,751.6899967,0.209395873,3.99963095,0.003879107,0.00224414,0.007216942,0.021305715,N/A
